image_folder_name;input_image_name;detected_foreground_objects_class_names;input_foreground_sound_folder_path;foreground_sound_labels_folder_name;foreground_sound_labels_file_name;detected_background_object_class_name;input_background_sound_folder_path;input_background_folder_class_name;input_background_sound_name;soundscape_folder_name;soundscape_name;soundscape_duration
images;leverkusen_000000.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000000.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000000.png.wav;30
images;leverkusen_000001.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'truck';soundbank/foreground;foreground_sound_labels;leverkusen_000001.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000001.png.wav;30
images;leverkusen_000002.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000002.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000002.png.wav;30
images;leverkusen_000003.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck';soundbank/foreground;foreground_sound_labels;leverkusen_000003.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000003.png.wav;30
images;leverkusen_000004.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000004.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000004.png.wav;30
images;leverkusen_000005.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000005.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000005.png.wav;30
images;leverkusen_000006.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'bus', 'train', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000006.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000006.png.wav;30
images;leverkusen_000007.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'truck', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000007.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000007.png.wav;30
images;leverkusen_000008.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000008.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000008.png.wav;30
images;leverkusen_000009.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000009.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000009.png.wav;30
images;leverkusen_000010.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bus', 'train';soundbank/foreground;foreground_sound_labels;leverkusen_000010.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000010.png.wav;30
images;leverkusen_000011.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000011.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000011.png.wav;30
images;leverkusen_000012.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000012.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000012.png.wav;30
images;leverkusen_000013.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000013.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000013.png.wav;30
images;leverkusen_000014.png;'sidewalk', 'building', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000014.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000014.png.wav;30
images;leverkusen_000015.png;'road', 'sidewalk', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000015.png.txt;building;soundbank/background;,,;,,;soundscapes;leverkusen_000015.png.wav;30
images;leverkusen_000016.png;'sidewalk', 'building', 'wall', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bus';soundbank/foreground;foreground_sound_labels;leverkusen_000016.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000016.png.wav;30
images;leverkusen_000017.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000017.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000017.png.wav;30
images;leverkusen_000018.png;'sidewalk', 'building', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000018.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000018.png.wav;30
images;leverkusen_000019.png;road', 'sidewalk', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000019.png.txt;building;soundbank/background;,,;road1.wav;soundscapes;leverkusen_000019.png.wav;30
images;leverkusen_000020.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000020.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000020.png.wav;30
images;leverkusen_000021.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000021.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000021.png.wav;30
images;leverkusen_000022.png;'road', 'sidewalk', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000022.png.txt;building;soundbank/background;,,;,,;soundscapes;leverkusen_000022.png.wav;30
images;leverkusen_000023.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'truck', 'bus', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000023.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000023.png.wav;30
images;leverkusen_000024.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000024.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000024.png.wav;30
images;leverkusen_000025.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'bus';soundbank/foreground;foreground_sound_labels;leverkusen_000025.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000025.png.wav;30
images;leverkusen_000026.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000026.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000026.png.wav;30
images;leverkusen_000027.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000027.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000027.png.wav;30
images;leverkusen_000028.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'truck', 'bus', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000028.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000028.png.wav;30
images;leverkusen_000029.png;'sidewalk', 'building', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'bus', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000029.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000029.png.wav;30
images;leverkusen_000030.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car';soundbank/foreground;foreground_sound_labels;leverkusen_000030.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000030.png.wav;30
images;leverkusen_000031.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000031.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000031.png.wav;30
images;leverkusen_000032.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000032.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000032.png.wav;30
images;leverkusen_000033.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000033.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000033.png.wav;30
images;leverkusen_000034.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000034.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000034.png.wav;30
images;leverkusen_000035.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bus';soundbank/foreground;foreground_sound_labels;leverkusen_000035.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000035.png.wav;30
images;leverkusen_000036.png;'sidewalk', 'building', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000036.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000036.png.wav;30
images;leverkusen_000037.png;sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000037.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000037.png.wav;30
images;leverkusen_000038.png;sidewalk', 'building', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bus', 'train';soundbank/foreground;foreground_sound_labels;leverkusen_000038.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000038.png.wav;30
images;leverkusen_000039.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000039.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000039.png.wav;30
images;leverkusen_000040.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'rider', 'car', 'motorcycle', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000040.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000040.png.wav;30
images;leverkusen_000041.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic light', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'truck', 'motorcycle';soundbank/foreground;foreground_sound_labels;leverkusen_000041.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000041.png.wav;30
images;leverkusen_000042.png;'sidewalk', 'building', 'wall', 'fence', 'pole', 'traffic sign', 'vegetation', 'terrain', 'sky', 'person', 'car', 'bicycle';soundbank/foreground;foreground_sound_labels;leverkusen_000042.png.txt;road;soundbank/background;road;road1.wav;soundscapes;leverkusen_000042.png.wav;30
